date,station_id,Time,Temperature,Dew Point,Humidity,Wind,Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar
2024-10-01,IICHTE19,,,,,,,,,,,,
2024-10-01,IICHTE19,00:04:00,56.8 °F,53.1 °F,87 %,WSW,8.2 mph,10.4 mph,29.48 in,0.00 in,0.00 in,0.0,0 w/m²
2024-10-01,IICHTE19,00:09:00,56.8 °F,52.9 °F,87 %,WSW,7.9 mph,9.8 mph,29.47 in,0.00 in,0.00 in,0.0,0 w/m²
2024-10-01,IICHTE19,00:14:00,57.0 °F,52.8 °F,86 %,West,10.3 mph,12.8 mph,29.47 in,0.00 in,0.00 in,0.0,0 w/m²
2024-10-01,IICHTE19,00:19:00,57.2 °F,52.7 °F,85 %,WSW,9.7 mph,12.2 mph,29.47 in,0.00 in,0.00 in,0.0,0 w/m²
2024-10-01,IICHTE19,00:24:00,57.2 °F,52.7 °F,85 %,WSW,9.7 mph,11.9 mph,29.47 in,0.00 in,0.00 in,0.0,0 w/m²
2024-10-01,IICHTE19,00:29:00,57.1 °F,52.6 °F,85 %,WSW,9.6 mph,11.6 mph,29.47 in,0.00 in,0.00 in,0.0,0 w/m²
2024-10-01,IICHTE19,00:34:00,57.0 °F,52.5 °F,85 %,WSW,9.8 mph,12.7 mph,29.47 in,0.00 in,0.00 in,0.0,0 w/m²
2024-10-01,IICHTE19,00:39:00,57.0 °F,52.5 °F,85 %,West,8.6 mph,10.6 mph,29.47 in,0.00 in,0.00 in,0.0,0 w/m²
2024-10-01,IICHTE19,00:44:00,56.8 °F,52.3 °F,85 %,WSW,9.1 mph,11.4 mph,29.47 in,0.00 in,0.00 in,0.0,0 w/m²
2024-10-01,IICHTE19,00:49:00,56.7 °F,52.2 °F,85 %,WSW,9.2 mph,11.5 mph,29.46 in,0.00 in,0.00 in,0.0,0 w/m²
2024-10-01,IICHTE19,00:54:00,56.8 °F,52.1 °F,84 %,WSW,10.7 mph,13.2 mph,29.47 in,0.00 in,0.00 in,0.0,0 w/m²
2024-10-01,IICHTE19,00:59:00,56.8 °F,52.0 °F,84 %,WSW,9.7 mph,12.1 mph,29.47 in,0.00 in,0.00 in,0.0,0 w/m²
2024-10-01,IICHTE19,01:04:00,56.8 °F,52.0 °F,84 %,WSW,9.4 mph,12.0 mph,29.47 in,0.00 in,0.00 in,0.0,0 w/m²
2024-10-01,IICHTE19,01:09:00,56.8 °F,51.9 °F,84 %,West,9.0 mph,10.9 mph,29.47 in,0.00 in,0.00 in,0.0,0 w/m²
2024-10-01,IICHTE19,01:14:00,56.6 °F,51.6 °F,84 %,West,10.3 mph,12.7 mph,29.47 in,0.00 in,0.00 in,0.0,0 w/m²
2024-10-01,IICHTE19,01:19:00,56.6 °F,51.5 °F,83 %,WSW,11.6 mph,15.1 mph,29.47 in,0.00 in,0.00 in,0.0,0 w/m²
2024-10-01,IICHTE19,01:24:00,56.5 °F,51.3 °F,83 %,WSW,10.0 mph,12.6 mph,29.47 in,0.00 in,0.00 in,0.0,0 w/m²
2024-10-01,IICHTE19,01:29:00,56.4 °F,51.4 °F,83 %,WSW,9.1 mph,11.7 mph,29.47 in,0.00 in,0.00 in,0.0,0 w/m²
