date,station_id,Time,Temperature,Dew Point,Humidity,Wind,Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar
2024-10-01,ILAMAD25,,,,,,,,,,,,
2024-10-01,ILAMAD25,00:04:00,56.2 °F,51.3 °F,84 %,,4.4 mph,10.9 mph,29.75 in,0.00 in,0.19 in,0.0,0 w/m²
2024-10-01,ILAMAD25,00:09:00,56.3 °F,51.3 °F,83 %,NNW,2.5 mph,11.3 mph,29.75 in,0.00 in,0.19 in,0.0,0 w/m²
2024-10-01,ILAMAD25,00:14:00,56.3 °F,51.3 °F,83 %,NNW,4.1 mph,11.7 mph,29.75 in,0.00 in,0.19 in,0.0,0 w/m²
2024-10-01,ILAMAD25,00:19:00,56.4 °F,51.3 °F,83 %,,3.1 mph,11.8 mph,29.75 in,0.00 in,0.19 in,0.0,0 w/m²
2024-10-01,ILAMAD25,00:24:00,56.5 °F,51.2 °F,82 %,NNW,2.5 mph,8.5 mph,29.75 in,0.00 in,0.19 in,0.0,0 w/m²
2024-10-01,ILAMAD25,00:29:00,56.6 °F,51.2 °F,82 %,NW,3.2 mph,8.8 mph,29.75 in,0.00 in,0.19 in,0.0,0 w/m²
2024-10-01,ILAMAD25,00:34:00,56.7 °F,51.3 °F,82 %,North,4.0 mph,9.7 mph,29.75 in,0.00 in,0.19 in,0.0,0 w/m²
2024-10-01,ILAMAD25,00:39:00,56.6 °F,51.5 °F,83 %,NW,1.9 mph,7.7 mph,29.75 in,0.00 in,0.19 in,0.0,0 w/m²
2024-10-01,ILAMAD25,00:44:00,56.5 °F,51.4 °F,83 %,NNW,3.0 mph,9.5 mph,29.75 in,0.00 in,0.19 in,0.0,0 w/m²
2024-10-01,ILAMAD25,00:49:00,56.5 °F,51.4 °F,83 %,,3.1 mph,8.3 mph,29.75 in,0.00 in,0.19 in,0.0,0 w/m²
2024-10-01,ILAMAD25,00:54:00,56.5 °F,51.2 °F,82 %,NNW,3.7 mph,9.9 mph,29.75 in,0.00 in,0.19 in,0.0,0 w/m²
2024-10-01,ILAMAD25,00:59:00,56.5 °F,51.1 °F,82 %,NW,4.3 mph,11.7 mph,29.75 in,0.00 in,0.19 in,0.0,0 w/m²
2024-10-01,ILAMAD25,01:04:00,56.6 °F,51.1 °F,82 %,NNW,2.2 mph,7.5 mph,29.75 in,0.00 in,0.19 in,0.0,0 w/m²
2024-10-01,ILAMAD25,01:09:00,56.6 °F,50.8 °F,81 %,,3.6 mph,9.5 mph,29.75 in,0.00 in,0.19 in,0.0,0 w/m²
2024-10-01,ILAMAD25,01:14:00,56.7 °F,50.9 °F,81 %,North,2.5 mph,8.3 mph,29.75 in,0.00 in,0.19 in,0.0,0 w/m²
2024-10-01,ILAMAD25,01:19:00,56.6 °F,50.6 °F,80 %,WNW,3.5 mph,14.5 mph,29.75 in,0.00 in,0.19 in,0.0,0 w/m²
2024-10-01,ILAMAD25,01:24:00,56.5 °F,50.7 °F,81 %,,3.9 mph,9.9 mph,29.75 in,0.00 in,0.19 in,0.0,0 w/m²
2024-10-01,ILAMAD25,01:29:00,56.4 °F,50.6 °F,81 %,NNW,3.7 mph,9.3 mph,29.75 in,0.00 in,0.19 in,0.0,0 w/m²
2024-10-01,ILAMAD25,01:34:00,56.2 °F,50.2 °F,80 %,NNW,4.6 mph,9.7 mph,29.75 in,0.00 in,0.19 in,0.0,0 w/m²
